Shelfmark,UV URL,Page Label,Date,Type,VID
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f10, v","9,8,14",Company seal placed on transfer of asiento from the crown to the SSC,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f10, v","10,1,14",Company seal placed on bond entered into with the Royal African Company,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f10, r","10,8,14",Company seal placed on letters concerning Anglessey's voyage to Cadiz,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f10, r","10,15,14","Seal placed on Spanish certificates sent to SSC's agents at Jamaica 
to go on sloops carrying slaves from the island",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f11, v","11,11,14","Freight of 380 slaves on the Indian Queen; plus seal placed on
 Spanish certificates sent to agents in Barbados",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f11, r","11,18,14",Freight of 450 slaves on the Europe,77042
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f12, v","11,11,14",Freight of 270 slaves on the Wiltshire,76318
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f12, r","12,24,14",Freight of 440 slaves on the Prince of Wales. Plus Thomas Bowles appointed agent at Madrid,76014
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f13, v","12,24,14",Thomas Bowles appointed agent at Madrid,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f13, r","12,24,14",Thomas Bowles appointed agent at Madrid,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f13, r","11,22,14",William Sorey attested to be a notary public,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f14, v",n.d.,List of company agents at its various Spanish American factories,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f14, r",n.d.,Bond to customs house on India goods aboard the Prince of Wales,76014
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f14, r","2,3,14","Bonds for shipping of ""prohibited goods"" on the Eliabeth to the Spanish West Indies",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f15, v"," 2,25,14","Bonds for shipping of ""prohibited goods"" on the Eliabeth to the Spanish West Indies",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f15, v","3,8,14","Deputizing Messrs Thompson Morris and Pratter, company's agents at Jamaica",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f15, r","3,8,14","Deputizing Messrs Thompson Morris and Pratter, company's agents at Jamaica",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f16, v","3,8,14","Deputizing Messrs Thompson Morris and Pratter, company's agents at Jamaica",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f16, r","3,8,14","Deputizing Messrs Thompson Morris and Pratter, company's agents at Jamaica",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f17, v",n.d. ,Seal to be used by the company,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f17, r",n.d. ,Seal to be used by the company,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f17, r","3,8,14",Brand to be used on slaves by Jamaican factors ,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f18, v","3,8,14",Brand to be used on slaves by Jamaican factors ,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f18, r","3,8,14",Brand to be used on slaves by Jamaican factors ,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f19, v","3,8,14","Deputizing Dudley Woodbridge, company's agent at Barbados",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f19, r","3,8,14","Deputizing Dudley Woodbridge, company's agent at Barbados",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f19, r","3,8,14",Seal to be used by the company at Barbados,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f20, v","3,8,14",Seal to be used by the company at Barbados,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f.20, r","3,8,14",Brand to be used on slaves by Barbados factors ,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f21, v","3,8,14",Brand to be used on slaves by Barbados factors ,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f21, v","3,9,14",Lease of house to the SSC,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f22, r","4,5,15",Case involving purcahse of cloth,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, v"," 5,11,15",Shipping of hides from Buenos Aires on the William & Sarah,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, r"," 5,11,15",Shipping of hides from Buenos Aires on the William & Sarah,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, v"," 5,11,15",Shipping of hides from Buenos Aires on the William & Sarah,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f.23, v","6,4,15",Bonds for export of goods on the Windsor,76320
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, v","6,11,15",Freight of 380 slaves on the Windsor,76320
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, r","6,11,15",Freight of 380 slaves on the Windsor,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f23, r","6,11,15",Declaration of size of annual ship,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f24, v","6,11,15",Declaration of size of annual ship,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f24, r","6,23,15",Appointment of agents at Vera Cruz for annual ship,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f24, v","6,23,15",Appointment of agents at Vera Cruz for annual ship,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f25, r","6,23,15",Appointment of agents at Vera Cruz for annual ship,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f26, v","6,23,15",Appointment of agents at Vera Cruz for annual ship,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f26, r","6,23,15",Appointment of agents at Vera Cruz for annual ship,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f26, r","7,23,15",Freight of 500 slaves on the Dunwich Merchant,75371
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f27, v","7,29,15",Shipping of india goods on the Resolution to Africa,76073
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f27, v","8,5,15",Freight of 230 slaves on the Resolution,76073
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f27, r","8,5,15",Freight of 230 slaves on the Resolution,76073
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f27, r","8,5,15",Shipping of goods on the Hope to Africa,75639
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f27, r","8,17,15",Freight of 360 slaves on the Hope,75639
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f28, v","17, 8, 15",Shipping of India goods on the Bedford to Spanish Americas,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f28, v","10,1,15",Shipping of India goods on the Pearl to Africa,75958
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f28, r","10,6,15",Freight of 300 slaves on the Pearl,75958
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f29, v"," 10,12,15",Shipping of India goods on the King Solomon to Africa,75733
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f29, v","10,22,15",Freight of 340 slaves on the King Solomon,75733
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f29, r","10,28,15",Shipping of various goods to Spanish West Indies,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f30, v","10,28,15",Shipping of various goods to Spanish West Indies,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f30, v","12,12,15",Ship St George to Jamaica & Vera Cruz,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f30, r","1,6,15",Shipping linen on the Hamborough ,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f30, r","2,1,15",Empowering of Mr Bowles to act as agent for asiento at Madrid,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f31, v","2,1,15",Empowering of Mr Bowles to act as agent for asiento at Madrid,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f31, r","2,1,15",Empowering of Mr Bowles to act as agent for asiento at Madrid,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f31, r","3,10,15",Shipping goods on the Jamaica to Jamaica,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f31, r","3,21,15",Shipping goods on the Royal Africa to Africa,76092
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, v","3,29,16",Freight of 400 slaves on the Sarah,77050
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, v","4,11,16",Payment of snuff duty,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, r","5,3,16",Shipping goods on the Catharine to Africa,75244
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, r","5,3,16",Shipping goods on the John to Africa,75697
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, r","5,3,16",Shipping goods on the George,77051
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, r","5,18,16","Court case against Withers, Whistler & Kesson",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f32, v","5,18,16","Court case against Withers, Whistler & Kesson",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f33, v"," 5,18,16",Freight of 540 slaves on the George,77051
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f33, r","5,25,16",Freight of 240 slaves on the Royal Africa,76092
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f33, r","5,25,16",Freight of 500 slaves on the Catharine,75244
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f34, v","6,4,16",Freight of 260 slaves on the John,75697
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f34, r"," 6,12,16",Certificate for appointing agents at Havana,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f35, v"," 6,12,16",Certificate for appointing agents at Havana,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f35, r"," 6,12,16",Certificate for appointing agents at Havana,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f36, v"," 6,12,16",Certificate for appointing agents at Havana,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f36, r"," 6,12,16","Certificate for William Cleland, captain of the Three Brothers, to deliver slaves from Barbados to Havana",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f37, v"," 6,12,16","Certificate for William Cleland, captain of the Three Brothers, to deliver slaves from Barbados to Havana",
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f38, v"," 6,12,16","Certificate for William Cleland, captain of the Three Brothers, to deliver slaves from Barbados to Havana",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f38, r","6,15,16",Call for Spanish crown to honor terms of asiento,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f39, v","7,4,16",Ending of contract with the Royal African Company to supply slaves in Africa,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f39, r","7,4,16",Ending of contract with the Royal African Company to supply slaves in Africa,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f39, r","8,15,16",Shipping cloth on the Prince to Africa,76003
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f39, r","8,15,16",Shipping goods on the Clapham to Africa,75283
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, v","8,23,16",Freight of 230 slaves on the Clapham,75283
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, v","8,29,16",Freight of slaves on the Prince,76003
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, v","9,5,16",Appointment of John Bennet as surgeon at Porto Belo factory,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, r","9,5,16",Appointment of John Bennet as surgeon at Porto Belo factory,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, r","9,15,16",Shipping of goods on the African to Africa,75040
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, r","9,15,16",Appointment of Samuel Douglass as surgeon at Panama factory,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f40, r","10,2,16",Shipping of supplies to Buenos Aires factory on the Kingston ,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f41, v","10,2,16",Shipping of supplies to Buenos Aires factory on the Kingston ,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f41, r"," 11,10,16",Appointment of agents at Buenos Aires factory,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f42, v"," 11,10,16",Appointment of agents at Buenos Aires factory,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f42, v","11,8,16",Dismissal of Capt Thomas Dover as president of Buenos Aires factory,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f42, r","11,8,16",Dismissal of Capt Thomas Dover as president of Buenos Aires factory,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f42, r","11,8,16",Certification for Buenos Aires sloop to be employed for the asiento,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, v","11,8,16",Certification for Buenos Aires sloop to be employed for the asiento,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, v","11,16,16",Court case regarding SSC stock,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, r","12,20,16",Shipping of linen on the Prince to Africa,76003
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, r","12,20,16",Shipping of paper on the Elizabeth to Madeira,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, r","1,22,16",Shipping of cloth on the St Quentin to Africa,76207
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f43, r","1,25,16",Freight of 318 slaves on the St Quentin,76207
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, v","2,9,16",Freight on the London to Jamaica and Vera Cruz,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, v","2,15,16",Freight on the Herbert to Jamaica and Carthagena,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, v"," 5,3,16",Shipping of goods on the Thomas & Deborah to Africa,76248
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, v","3,22,16",Shipping of goods on the Thomas & Deborah to Africa,76248
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, v","3,22,16",Freight [of slaves?] on the Thomas & Deborah,76248
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, r","4,17,17",Shipping of goods on the Europe to Africa,75432
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, r","5,3,17",Sale of the Buenos Ayres sloop,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, r","5,3,17",Freight of slaves on the Europe,75432
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, r","5,7,17",Shipping of goods on the Evelin to Africa,75433
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f44, r","5,10,17",Freight of slaves on the Evelin,75433
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","6,1,17",Shipping of goods on the John to Africa,75696
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v"," 6,7,17",Freight of slaves on the John,75696
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","6,26,17",Shipping of goods on the Hanover to Africa and the Royal Prince,76588
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","6,28,17",Freight of slaves on the Hanover,76588
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","6,28,17",Contract to build a ship,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","7,2,17",Shipping of goods on the Royal Prince to the West Indies,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, v","7,16,17","Appointment of Charles Read as president of Vera Cruz factory, and John Hoskins as assistant in buying cochineal, indigo etc",
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, r","7,16,17",Certificate for Sarah to be employed for the asiento,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f45, r","7,16,17",Certificate for the Royal Prince to be employed for the asiento,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, v","7,16,17",Certificate for the Royal Prince to be employed for the asiento,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, v","7,19,17",Shipping of goods on the Melcomb to Africa,76504
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, v"," 7,26,17",Freight of 440 slaves on the George Augustus ,75552
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, r","7,31,17",Freight of slaves on the Melcomb,76504
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, r"," 8,21,17",Shipping of goods on the Crown to Africa,75305
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, r","8,23,17",Freight of 300 slaves on the Crown,75305
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, r","10,22,17",Shipping of goods on the Sarahto Africa,76412
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f46, r","10,22,17",Shipping of goods on the John to Africa,75682
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, v","11,14,17",Freight of slaves on the John,75682
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, v","11,14,17",Freight of slaves on the Sarah,76412
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, v","11,27,17",Court case involving freight on the Windsor,76320
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, v","11,27,17",Shipping of goods on the Catharine to Africa,75245
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, v","12,6,17",Shipping of goods on [unknown ship] to Africa,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r","12,12,17",Shipping of wine & brandy from the Canaries,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r"," 12,16,17",Shipping of goods on the Clapham to Africa,75284
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r","12,17,17",Freight of slaves on the Catharine,75245
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r","12,20,17",Issuing of bonds,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r","12,20,17",Lease to Sr Wm Chapman,
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f47, r","12,20,17",Shipping of goods on the Crown to Africa,75305
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f48, v","12,23,17",Freight of slaves on the Clapham,75284
,,,,,
MS 25575,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442776.0x000001,"f48, v","12,23,17",Delivery of India cloth,
,,,,,
