id	place	value	longitude	latitude	show_on_main_map	show_on_voyage_map	region_id
66	Portsmouth	10450	-1.0833300	50.7666700	1	1	63
67	Poulton	10451	-2.9833300	53.8333300	1	1	63
68	Preston	10452	-2.7200000	53.7666700	0	1	63
69	Ramsgate	10453	0.0000000	0.0000000	0	0	63
70	Ravenglass	10454	0.0000000	0.0000000	0	0	63
71	River Thames	10455	0.4064200	51.4268700	1	0	63
72	Rochester	10456	0.0000000	0.0000000	0	0	63
73	Rotherhithe	10457	0.0000000	0.0000000	0	0	63
74	Rye	10458	0.0000000	0.0000000	0	0	63
75	Scarborough	10459	0.0000000	0.0000000	0	0	63
76	Sheerness	10460	0.0000000	0.0000000	0	0	63
77	Shields	10461	0.0000000	0.0000000	0	0	63
770	Shoreham	10462	-0.2333300	50.8333300	0	1	63
78	Sidmouth	10463	0.0000000	0.0000000	0	0	63
79	Southampton	10464	-1.4000000	50.9000000	1	0	63
1485	Barton	10465	-1.7228153	52.7635270	1	1	63
80	Stockton	10466	-1.4200000	54.5833300	0	1	63
81	Stockwithe	10467	0.0000000	0.0000000	0	0	63
82	Sunderland	10468	0.0000000	0.0000000	0	0	63
83	Teignmouth	10469	0.0000000	0.0000000	0	0	63
84	Topsham	10470	-3.4500000	50.6833300	0	1	63
85	Torbay	10471	0.0000000	0.0000000	0	0	63
86	Wales	10472	-3.6843100	52.3573400	1	1	63
87	Whitby	10473	-0.6305600	54.4866700	1	0	63
88	Whitehaven	10474	-3.6000000	54.5500000	1	1	63
1486	Bath	10475	-2.3613581	51.3807920	1	1	63
89	Workington	10476	0.0000000	0.0000000	0	0	63
90	Yarmouth	10477	-1.5000000	50.7000000	1	0	63
91	Youghal	10478	0.0000000	0.0000000	0	0	63
92	Conway	10479	0.0000000	0.0000000	0	0	63
93	Falmouth (Eng.)	10480	-5.0710600	50.1559900	0	1	63
874	Lymehouse (a) Limehouse	10481	-0.0352330	51.5132400	1	1	63
1644	Beaumont cote, Bolton le Sands, Lancashire	10482	-2.8045340	54.1077062	1	1	63
1488	Beckermet	10483	-3.5168370	54.4475050	1	1	63
1493	Ruthin	10484	-3.2986356	53.1205380	1	1	63
851	Lympstone	10485	-3.4294850	50.6481940	1	1	63
1465	Ballatoar, Isle of Man	10486	-4.5152008	54.3235447	1	1	63
1475	Ashton-in-Makerfield	10488	-2.6425660	53.4869569	1	1	63
1476	Aspull	10489	-2.5883110	53.5682130	1	1	63
1477	Aughton	10490	-2.9191120	53.5378740	1	1	63
1480	Dalton-in-Furness	10491	-2.7044052	53.7632254	1	1	63
1499	Bodfari, Flintshire	10492	-3.3592152	53.2214454	1	1	63
1501	Bootle	10493	-2.9988950	53.4432550	1	1	63
1506	Brampton Bryan	10494	-2.9260785	52.3458490	1	1	63
1510	Bromfield, Cumberland	10495	-3.2816074	54.8087340	1	1	63
1511	Brookhouse, Caton	10496	NULL	54.0753422	1	1	63
1513	Bunbury, Cheshire	10497	-2.6503622	53.1160972	1	1	63
1762	Smithies, South Barnsley	10498	-1.4610630	53.5316973	1	1	63
94	England, place unspecified	10499	-0.1166700	51.5000000	0	1	63
95	Airth	10501	0.0000000	0.0000000	0	0	64
96	Borrowstounness	10502	0.0000000	0.0000000	0	0	64
97	Dundee	10503	0.0000000	0.0000000	0	0	64
98	Glasgow	10504	-4.2500000	55.8333300	1	1	64
99	Greenock	10505	-4.7500000	55.9333300	1	1	64
100	Leith	10506	-3.1666700	55.9500000	1	1	64
102	Montrose	10508	-2.4500000	56.7000000	1	1	64
103	Ross	10509	0.0000000	0.0000000	0	0	64
104	Saltcoats	10510	0.0000000	0.0000000	0	0	64
105	Largo, Fifeshire	10511	0.0000000	0.0000000	0	0	64
875	Dumfries	10512	-3.6051198	55.0708590	1	1	64
178	Point Askaig	10513	0.0000000	0.0000000	0	0	64
852	Cambletown	10514	-5.6053740	55.4241170	1	1	64
853	Portpatrick	10515	-5.1160570	54.8427900	1	1	64
854	Erwin	10516	0.0001235	0.0001235	1	1	64
855	Aberdeen	10517	-2.0942780	57.1497170	1	1	64
856	Stranraer	10518	-5.0240550	54.9033670	1	1	64
970	Oban	10519	-5.4710467	56.4151570	1	1	64
1515	Campbeltown	10520	-5.6053740	55.4241170	1	1	64
1781	Loch Dochfour	10521	-4.3240194	57.4176589	1	1	64
1782	Dumfriesshire	10522	-3.5060000	55.2000971	1	1	64
1783	Edinburgh	10523	-3.1882670	55.9532520	1	1	64
1784	Galloway	10524	-4.1409785	55.0759404	1	1	64
1785	Gretna	10525	-3.0650636	54.9946732	1	1	64
1786	Jedburgh	10526	-2.5549369	55.4777210	1	1	64
1788	Killead	10527	-6.1822433	54.6632853	1	1	64
1789	kincardineshire	10528	-2.5790885	56.9331742	1	1	64
1790	Kirkcudbright	10529	-4.0487800	54.8375690	1	1	64
1791	Kirkliston	10530	-3.4014110	55.9569720	1	1	64
1792	Netherton	10531	-2.9631400	53.4774586	1	1	64
1793	Pentland Firth, UK	10532	-3.1150000	58.7160000	1	1	64
1794	Perth, Scotland	10533	-3.4377528	56.4015766	1	1	64
1795	Tarbolton	10534	-4.4881560	55.5122400	1	1	64
1796	Turnberry	10535	-4.8313868	55.3110992	1	1	64
106	Scotland, place unspecified	10599	-4.0100000	56.7803600	0	1	64
107	Cork	10601	-8.4958300	51.8986100	1	1	65
108	Dublin	10602	-7.5502800	52.5744400	1	1	65
109	Dungarvan	10603	0.0000000	0.0000000	0	0	65
110	Galway	10604	-9.0488900	53.2719400	1	0	65
111	Kinsale	10605	-8.5233100	51.7064400	0	1	65
112	Limerick	10606	-8.6665200	52.6622200	0	1	65
113	Londonderry	10607	0.0000000	0.0000000	0	0	65
114	Ringsend	10608	-7.5913900	54.7947200	1	0	65
115	Strangford	10609	0.0000000	0.0000000	0	0	65
116	Waterford	10610	-7.1100000	52.2583300	0	1	65
117	Wexford	10611	0.0000000	0.0000000	0	0	65
876	Belfast	10612	-5.9301190	54.5972850	1	1	65
877	Coleraine	10613	-5.9301199	54.5972850	1	1	65
1812	Skibbereen	10614	-9.2621303	51.5559244	1	1	65
1813	Tonaghmore, Cloghernalaura	10615	-9.3963889	53.2861111	1	1	65
1814	Tynan	10616	-6.8226300	54.3299900	1	1	65
1815	Drogheda	10617	-6.3560985	53.7178560	1	1	65
101	Lough Neagh	10618	0.0000000	0.0000000	0	0	65
118	Ireland, place unspecified	10699	0.0000000	0.0000000	0	0	65
119	Bayonne	10702	-1.4833300	43.4833300	1	1	4
120	Bordeaux	10703	-0.5666700	44.8333300	1	1	4
121	Brest	10704	-4.4833300	48.4000000	1	1	4
122	Calais	10705	1.8586860	50.9512900	0	0	4
123	Camaret	10706	-2.6393200	47.7442000	0	1	4
124	Dieppe	10707	1.0833300	49.9333300	1	1	4
125	Dinard	10708	-2.0632000	48.6305500	0	1	4
126	Dunkerque	10709	2.3666700	51.0500000	1	1	4
127	Honfleur	10710	0.2333300	49.4166700	1	1	4
128	Ile de Batz	10711	-4.0173700	48.7454600	0	1	4
129	La Rochelle	10712	-1.1500000	46.1666700	1	1	4
130	Le Havre	10713	0.1333300	49.5000000	1	1	4
131	Les Sables	10714	-1.9823200	47.0628400	0	1	4
132	Lorient	10715	-3.3666700	47.7500000	1	1	4
768	Marseille	10716	5.4000000	43.3000000	1	1	4
133	Mediterranean coast (France)	10717	5.4000000	43.3000000	0	1	4
134	Mindin	10718	-2.1666700	47.2666700	1	1	4
135	Morlaix	10719	-3.8333300	48.5833300	1	1	4
136	Nantes	10720	-1.5500000	47.2166700	1	1	4
137	Paimboeuf	10721	-2.0333300	47.2833300	1	0	4
138	Port Louis	10722	-3.3558700	47.7083800	0	1	4
139	Quimper	10723	0.0000000	0.0000000	0	0	4
140	Rochefort	10724	-0.9833300	45.9333300	1	1	4
141	Saint-Brieuc	10725	-2.7800000	48.5166700	0	1	4
142	Saint-Malo	10726	-2.0166700	48.6500000	1	1	4
143	Saint-Nazaire	10727	-2.2136100	47.2743200	0	1	4
144	Saint-Tropez	10728	0.0000000	0.0000000	0	0	4
145	S?te	10729	3.6966000	43.4017600	0	1	4
146	Vannes	10730	-2.7500000	47.6666700	1	1	4
1473	Anucita	10731	-2.8980307	42.8013829	1	1	4
1482	Barbezieux-Saint-Hilaire	10732	-0.1556890	45.4718940	1	1	4
1487	Beau sejour	10733	-1.3025672	44.9486800	1	1	4
1492	Bergerac	10734	0.4833920	44.8538060	1	1	4
1494	Biarritz	10735	-1.5586260	43.4831519	1	1	4
1497	Blaye	10736	-0.6629410	45.1268410	1	1	4
1514	Cadillac	10737	-0.3045881	44.6418889	1	1	4
1520	Castres	10738	2.2412950	43.6062140	1	1	4
1524	Chaillevette	10739	-1.0588580	45.7303090	1	1	4
1832	Clairac	10741	0.3757770	44.3604090	1	1	4
1833	?taules	10742	-1.1005810	45.7333430	1	1	4
1834	Grateloup-Saint-Gayrand	10743	0.3878050	44.4220140	1	1	4
1835	La Tremblade	10744	-1.1403350	45.7704550	1	1	4
1836	Languedoc-Roussillon, France	10745	3.2583626	43.5912356	1	1	4
1837	Le Fleix	10746	0.2445810	44.8755800	1	1	4
1838	Limoges	10747	1.2611050	45.8336190	1	1	4
1839	Lormont	10748	-0.5231080	44.8801630	1	1	4
1840	Lyon	10749	4.8356590	45.7640430	1	1	4
1841	Marennes-Hiers-Brouage	10751	-1.1039980	45.8237520	1	1	4
1842	Mirambeau	10752	-0.5700440	45.3728870	1	1	4
1843	Montpellier	10753	3.8767160	43.6107690	1	1	4
1844	Mornac	10754	0.2719860	45.6801680	1	1	4
1845	Nice	10755	7.2619532	43.7101728	1	1	4
1846	Ol?ron, France	10756	-1.2733651	45.9539730	1	1	4
1847	Paillet	10757	-0.3643868	44.6840224	1	1	4
1848	Podensac	10758	-0.3545140	44.6507540	1	1	4
1849	Rennes	10759	-1.6777926	48.1172660	1	1	4
1850	Pauillac	10761	-0.7537779	45.1833870	1	1	4
1851	Toulouse	10762	1.4442090	43.6046520	1	1	4
1852	Tournon-sur-Rh?ne	10763	4.8321370	45.0679150	1	1	4
2473	Cherbourg	10765	-1.6200000	49.6369550	1	1	4
147	France, place unspecified	10799	-1.5500000	47.2166700	0	1	4
1469	Alkmaar	10801	4.7533754	52.6323813	1	1	5
1471	Amersfoort	10802	5.3878266	52.1561113	1	1	5
1491	Bergen	10803	4.7069407	52.6755400	1	1	5
1500	Zaltbommel	10804	5.2507733	51.8135539	1	1	5
1502	Boskoop	10805	4.6584762	52.0742845	1	1	5
1512	Buiksloot	10806	4.9179696	52.4062945	1	1	5
1860	Brielle	10807	4.1636846	51.9025820	1	1	5
1861	Den Helder	10808	4.7607972	52.9562808	1	1	5
1862	Den Hoorn	10809	4.7552065	53.0262819	1	1	5
148	Amsterdam	10810	4.9166700	52.3500000	1	1	5
1863	Eemnes	10811	5.2612754	52.2537461	1	1	5
1864	Egmond aan Zee	10812	4.6302431	52.6225270	1	1	5
1865	Fleringen	10813	6.4999699	50.2083393	1	1	5
1866	Friesland	10814	5.7817542	53.1641642	1	1	5
1867	Geertruidenberg	10815	4.8499781	51.7023659	1	1	5
1868	Goes	10816	3.8909117	51.5044711	1	1	5
1869	graft	10817	4.8320065	52.5627280	1	1	5
1870	Haarlem	10818	4.6462194	52.3873878	1	1	5
1871	Harlingen	10819	5.4295482	53.1750938	1	1	5
1872	Hasselt	10820	5.3425633	50.9326432	1	1	5
149	Enkhuizen	10821	5.2800000	52.7166700	0	1	5
150	Hoorn	10822	0.0000000	0.0000000	0	0	5
1874	Hindeloopen	10823	5.4012542	52.9426846	1	1	5
1875	Hulst	10824	4.0548869	51.2806907	1	1	5
1876	IJzendijke	10825	3.6167632	51.3217174	1	1	5
608	Zaandam	10827	4.8263467	52.4427325	0	0	5
151	Zuider Zee	10828	5.2700000	52.5456200	0	1	5
152	Texel	10829	4.8199100	53.1493300	1	1	5
153	Rotterdam	10830	4.5000000	51.9166700	1	1	5
154	Dordrecht	10831	4.6700000	51.8000000	0	1	5
155	Maze	10832	4.5986000	51.7514000	0	1	5
156	Moerdijk	10833	4.6273700	51.7020200	0	1	5
157	Hellevoetsluis	10834	4.1333300	51.8333300	1	1	5
1885	Monnickendam	10835	5.0392316	52.4555687	1	1	5
1886	Naarden	10836	5.1604238	52.2952549	1	1	5
1887	Nieuwendam	10837	4.9469109	52.3938679	1	1	5
1888	Obdam	10838	4.9081883	52.6760192	1	1	5
1889	Oldenzaal	10839	6.9268283	52.3116551	1	1	5
158	Zeeland	10840	3.7710900	51.4964700	1	1	5
1891	Oostburg	10841	3.4887230	51.3281122	1	1	5
1892	Oostzaan	10842	4.8757219	52.4404972	1	1	5
1893	Ravenstein	10843	5.6515008	51.7967784	1	1	5
1894	Roosendaal	10844	4.4653213	51.5358490	1	1	5
1895	Leiden	10845	4.4970097	52.1601144	1	1	5
1896	Schellingwoude	10846	4.9617484	52.3832269	1	1	5
1897	Schoorl	10847	4.7053146	52.7054779	1	1	5
1898	Sint-Annaland	10848	4.1033185	51.5998713	1	1	5
1899	Sint-Maartensdijk	10849	4.0767226	51.5491448	1	1	5
616	Middelburg	10850	3.6100000	51.5000000	1	1	5
159	Vlissingen	10851	3.5833300	51.4500000	1	1	5
788	Veere	10852	3.6640700	51.5451000	0	0	5
833	Zeeland or Middelburg	10853	0.0001235	0.0001235	1	1	5
1902	Spierdijk	10854	4.9421568	52.6506009	1	1	5
1903	Stavoren	10856	5.3607068	52.8829456	1	1	5
1904	The Hague	10859	4.3006999	52.0704978	1	1	5
160	Groningen	10860	6.5500000	53.2166700	0	1	5
1906	Utrecht	10861	5.1214201	52.0907374	1	1	5
1907	Werkendam	10862	4.8918480	51.8081653	1	1	5
1908	West-Souburg	10863	3.5893108	51.4669525	1	1	5
1909	Woerden	10864	4.8627239	52.0798287	1	1	5
1910	Zierikzee	10865	3.9184977	51.6501218	1	1	5
1911	Zwolle	10866	6.0830219	52.5167747	1	1	5
1912	Netherlands	10867	5.2550728	51.8327606	1	1	5
1913	Aalsmeer	10869	4.7599646	52.2617972	1	1	5
1914	Twisk	10870	5.0563358	52.7413549	1	1	5
1915	Leiderdorp	10871	4.5281733	52.1509854	1	1	5
1916	Ameland, Netherlands	10872	5.6587659	53.4405640	1	1	5
1917	Wijk aan Zee	10873	4.5937650	52.4936023	1	1	5
1538	Gorinchem	10874	4.9716753	51.8376797	1	1	5
1540	Kampen	10875	5.8817377	52.5699660	1	1	5
1541	Kats	10876	3.8808347	51.5749406	1	1	5
1542	Katwijk aan Zee	10877	4.4112080	52.1997053	1	1	5
1543	Maarssen	10878	5.0273124	52.1325876	1	1	5
1544	Maassluis	10879	4.2466861	51.9222901	1	1	5
1545	Medemblik	10880	5.0632746	52.7543541	1	1	5
161	Netherlands, port unspecified	10899	4.8199100	53.1493300	0	1	5
162	K?benhavn	10901	12.5833300	55.6666700	1	1	6
163	Husum	10902	8.6800000	55.0666700	0	1	6
789	Helsing?r	10903	12.6135000	56.0363000	0	0	6
1924	Gr?dyb	10904	8.3438247	55.4734217	1	1	6
1925	Copenhagen	10905	12.5683371	55.6760968	1	1	6
1926	Ribe	10906	8.7746650	55.3269360	1	1	6
1927	Hornby	10994	-2.6361031	54.1120460	1	1	63
164	Denmark, port unspecified	10999	0.0000000	0.0000000	0	0	6
165	Pillau	11001	19.9100000	54.6522200	0	1	66
166	Elbe	11002	10.0000000	53.5500000	0	1	66
167	Emden	11003	7.2166700	53.3666700	1	1	66
168	Hamburg	11004	10.0000000	53.5500000	1	1	66
878	Hanover	11005	9.7320100	52.3758920	1	1	66
849	L?beck	11006	10.6865590	53.8654670	1	1	66
929	Gl?ckstadt	11007	9.4260900	53.7911910	1	1	66
1472	?ngelholm	11008	12.8638810	56.2457480	1	1	66
1479	Baden bei Wien	11009	16.2309100	48.0021400	1	1	66
1498	Bockhorn	11010	8.0135107	53.3936172	1	1	66
1507	Brandenburg	11011	12.5316444	52.4125287	1	1	66
1508	Bremen	11012	8.8016937	53.0792962	1	1	66
1509	Bremerlee	11013	10.4515260	51.1656910	1	1	66
1936	Cologne	11014	6.9535527	50.9461193	1	1	66
1937	Wolgast	11015	13.7665592	54.0496018	1	1	66
1938	Wardenburg	11016	8.1991278	53.0580029	1	1	66
1939	Sylt, Germany	11017	8.3179854	54.9082791	1	1	66
1940	Feucht	11018	11.2129142	49.3753539	1	1	66
1941	F?hr	11019	8.5031023	54.7182229	1	1	66
1942	Frankenthal	11021	8.3560768	49.5377072	1	1	66
1943	Frankfurt	11022	8.6821267	50.1109221	1	1	66
1944	Goch	11023	6.1565522	51.6799840	1	1	66
1945	Halberstadt	11024	11.0488695	51.8916475	1	1	66
1946	Jever	11025	7.9002789	53.5755787	1	1	66
1947	Biebertal	11026	8.5383721	50.6415556	1	1	66
1948	Kronberg	11027	8.5201703	50.1826861	1	1	66
1949	L?tjenburg	11028	10.5864414	54.2941415	1	1	66
1950	Jemgum	11029	7.2935348	53.3080064	1	1	66
1951	Otterndorf	11031	8.8976663	53.8089499	1	1	66
1952	Lier/Leer	11032	7.4752888	53.2429734	1	1	66
1953	Rostock	11033	12.0968194	54.0911274	1	1	66
1954	Schleswig	11034	9.5608476	54.5249669	1	1	66
1955	Stadland	11035	8.3567239	53.4019335	1	1	66
1956	Stade	11036	9.4709494	53.5928618	1	1	66
1957	Stolberg	11037	6.2251934	50.7730884	1	1	66
1958	Stralsund	11038	13.0770347	54.3090654	1	1	66
1959	Germany	11039	10.4515260	51.1656910	1	1	66
1960	Delmenhorst	11040	8.6355932	53.0521886	1	1	66
1961	Dortmund	11041	7.4652981	51.5135872	1	1	66
857	Germany - port unspecified	11099	0.0001235	0.0001235	1	1	66
169	Antwerp	11101	4.4166700	51.2166700	1	1	67
170	Flanders	11102	0.0000000	0.0000000	0	0	67
790	Brugge	11103	0.2252400	51.2094000	0	0	67
1495	Ghent	11104	3.7303351	51.0500182	1	1	67
1964	Leuven	11105	4.7137645	50.8822871	1	1	67
1965	Li?ge	11106	5.5697498	50.6329586	1	1	67
1966	Brussels	11107	4.3527555	50.8466495	1	1	67
1537	Doornik	11108	3.3864627	50.6113920	1	1	67
1539	Mechelen	11109	4.4791301	51.0267612	1	1	67
2363	Ostend	11110	2.9286560	51.2154300	1	1	67
171	Belgium, port unspecified	11199	4.4166700	51.2166700	0	1	67
172	T?nsberg	11201	10.4200000	59.2858000	0	1	68
173	Bergen	11202	0.0000000	0.0000000	0	0	68
1967	Halden	11203	11.3874569	59.1329964	1	1	68
1968	Kristiansand	11204	8.0182064	58.1599119	1	1	68
1969	Trondheim	11205	10.3950528	63.4305149	1	1	68
1533	Stavanger	11206	5.7331073	58.9699756	1	1	68
836	Norway, port unspecified	11299	0.0000000	0.0000000	0	0	68
174	G?teborg	11301	11.9700000	57.7166700	0	1	69
1971	Ystad	11302	13.8200308	55.4295051	1	1	69
1972	Gothenburg	11303	11.9745600	57.7088700	1	1	69
1973	Listerlandet	11304	14.6833333	56.0500000	1	1	69
1974	Stockholm	11305	18.0685808	59.3293235	1	1	69
1975	Uddevalla	11306	11.9356490	58.3498003	1	1	69
1976	Varberg	11307	12.2520907	57.1071180	1	1	69
1977	V?stervik	11308	16.6369759	57.7577156	1	1	69
1978	?ngelholm	11309	12.8638810	56.2457480	1	1	69
175	Sweden, port unspecified	11399	0.0000000	0.0000000	0	0	69
176	Genova	11401	0.0000000	0.0000000	0	0	70
177	Napoli	11402	14.2500000	40.8333300	1	0	70
179	Trieste	11404	13.7800000	45.6486100	0	1	70
1979	Gozo, Malta	11405	14.2512221	36.0442999	1	1	70
1980	Livorno	11406	10.3105674	43.5484730	1	1	70
837	Italy, port unspecified	11499	0.0000000	0.0000000	0	0	70
180	Kronstadt	11501	0.0000000	0.0000000	0	0	71
181	Odessa	11502	30.7333300	46.4666700	0	1	71
838	Russia, port unspecified	11599	0.0000000	0.0000000	0	0	71
798	Sardinia	11601	0.0000000	0.0000000	0	0	72
