118	Vice-Admiralty Court, unspecified, restored	139
119	Given up to the United States government	141
120	Arrested by Brazil or given up to the Brazilian government	142
121	Vice-Admiralty Court, Dominica, condemned	144
122	Vice-Admiralty Court, Bahamas, condemned	148
123	Vice-Admiralty Court, Bahamas, restored	149
124	Captured and released without court proceedings	153
125	Driven or run on shore in the Americas: no court proceedings	154
126	Given up to the Mexican Government, Vera Cruz	155
127	Taken to Genoa and given up to Sardinian authorities	156
128	Abandoned in Europe after completing voyage	157
129	Captured by Argentinian privateers after embarkation of slaves	159
130	Captured by United States before slaves embarked	160
131	Captured by United States with slaves	161
132	Captured by United States after slaves disembarked	162
133	Captured by United States, slave presence unspecified	163
134	French proceedings initiated in Africa, acquittal	164
135	French proceedings initiated in Africa, condemned	165
136	French proceedings initiated in Africa, unknown outcome	166
137	French proceedings, initiated in unknown location, acquittal	170
138	French proceedings, initiated in unknown location, condemned	171
139	French proceedings, initiated in unknown location, unknown outcome	172
140	French proceedings initiated in Guadaloupe, acquittal	173
141	French proceedings initiated in Guadaloupe, condemned	174
142	French proceedings initiated in Guadaloupe, unknown outcome	175
143	French proceedings initiated in Martinique, acquittal	176
144	French proceedings initiated in Martinique, condemned	177
145	French proceedings initiated in Martinique, unknown outcome	178
146	French proceedings initiated in Cayenne, acquittal	179
147	French proceedings initiated in Cayenne, condemned	180
148	French proceedings initiated in Cayenne, unknown outcome	181
149	French proceedings initiated in France, acquittal	182
150	French proceedings initiated in France, condemned	183
151	French proceedings initiated in France, unknown outcome	184
152	Detained and condemned in the United States after slaves disembarked	185
153	Captured by Dutch, slaves turned loose in Africa	186
154	Captured by Dutch, slaves turned loose in Brazil	187
155	Temporarily detained by the Dutch: Voyage allowed to continue with slaves	188
156	Slaves are removed by the Dutch and vessel allowed to continue, subsequent fate unknown	189
157	Captured by Portuguese and Dutch	191
158	Captured by Algerian pirates	192
159	Captured by Turks	193
160	Captured by British, released	194
161	Looted by Dutch at Elmina	195
162	Captured by first by the British and then by the Dutch after slaves embarked	196
163	Vessel driven back into Portdep by British and voyage aborted	198
164	Arrived in Brazil and refused permission to disembark	199
165	Ship and cargo captured by Africans and ship released	200
166	Ship captured by Haitian navy and slaves released in Haiti	201
167	Condemned at Goree by the British	202
168	Captured by the British, retaken by original crew, completed voyage	203
169	Captured by pirates after slaves embarked, ship and slaves burned.	204
170	Captured by English, slaves turned loose on Spanish Main	205
171	Sold slaves in Africa	206
172	Sold slaves in Europe - subsequent fate unknown	207
173	Left home port, no further record	208
174	captured by pirates and burned	209
175	looted by pirates, voyage continued	210
176	captured by Venezuelans before disembarkation of slaves	211
179	Captured by the Swedes	212
180	Captured by the Dominican Republic	213
190	No slaves embarked	214
181	Departed an American port with slaves, subsequent fate unknown	304
182	Returned to Port of embarkation without having sold slaves	305
183	Privateer captured slaves at sea and delivered for sale in America	306
184	Prisoners of war stole slaves during escape and carried to port of sale	307
185	Captives seized from vessel by Spanish officials and sold	309
186	Captured by slaves, slaves returned to Africa as free people	310
187	Shipwrecked, slaves salvaged	311
188	Captured by slaves, slaves freed by British authorities	312
189	Shipwrecked, slaves freed by British authorities	313
193	returned to port because of pirates	314
192	Voyage successful, owners/captain condemned in US	315
194	No slave vessel involved	501
195	Unknown slave vessel	502
177	Other (specify in note)	999
